Description,Name,UNII,SMILES,Target name,Target uniprot,Target gene name,Approved
"Trebananib is under investigation for the treatment of Ovarian Cancer, Peritoneal Cancer, and Fallopian Tube Cancer. Trebananib has been investigated for the treatment of Cancer, Oncology, Carcinoma, Metastases, and Colon Cancer, among others.",Trebananib,X8Y5U6NC7E,,"","","",false
"Taladegib has been used in trials studying the treatment of Solid Tumor, COLON CANCER, BREAST CANCER, Advanced Cancer, and Rhabdomyosarcoma, among others.",Taladegib,QY8BWX1LJ5,CN(C1CCN(CC1)C1=NN=C(C2=CC=NN2C)C2=CC=CC=C12)C(=O)C1=C(C=C(F)C=C1)C(F)(F)F,"","","",false
"CI-1040 has been used in trials studying the treatment of Lung Cancer, Breast Cancer, Breast Neoplasms, Pancreatic Cancer, and Colorectal Cancer, among others.",CI-1040,R3K9Y00J04,FC1=C(F)C(NC2=CC=C(I)C=C2Cl)=C(C=C1)C(=O)NOCC1CC1,"","","",false
"Dalotuzumab has been investigated for the treatment of Breast Cancer, Non Small Cell Lung Cancer, and Metastatic Colorectal Cancer.",Dalotuzumab,6YI1L648RH,,Insulin-like growth factor 1 receptor,P08069,IGF1R,false
"Onartuzumab has been used in trials studying the treatment of Neoplasms, Lung Cancer, Glioblastoma, Gastric Cancer, and Colorectal Cancer, among others.",Onartuzumab,MS1J9720WC,,"","","",false
"7-ethyl-10-hydroxycamptothecin (SN 38) is a liposomal formulation of the active metabolite of Irinotecan [DB00762],  a chemotherapeutic pro-drug approved for the treatment of advanced colorectal cancer. SN 38 has been used in trials studying the treatment of Cancer, Advanced Solid Tumors, Small Cell Lung Cancer, Metastatic Colorectal Cancer, and Triple Negative Breast Cancer, among others.",7-ethyl-10-hydroxycamptothecin,0H43101T0J,CCC1=C2C=C(O)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O,DNA topoisomerase 1; Cytochrome P450 3A4,P11387; P08684,TOP1; CYP3A4,false
"Dulanermin has been used in trials studying the treatment of Colorectal Cancer, Non-Hodgkin's Lymphoma, and Metastatic Colorectal Cancer.",Dulanermin,L65E7T81M5,,"","","",false
"GS-5745 has been used in trials studying the treatment of Tumors, Breast Cancer, Crohn's Disease, Colorectal Cancer, and Pancreatic Cancer, among others.",GS-5745,571045EIM4,,"","","",false
"Ensituximab has been used in trials studying the treatment of Pancreatic Cancer, Adult, Metastatic Colorectal Cancer, and Metastatic Pancreatic Cancer.",Ensituximab,F988K568V2,,"","","",false
Anlotinib has been investigated for the treatment of Non-small Cell Lung Cancer and Metastatic Colorectal Cancer.,Anlotinib,GKF8S4C432,COC1=CC2=C(OC3=CC=C4NC(C)=CC4=C3F)C=CN=C2C=C1OCC1(N)CC1,"","","",false
"LY3039478 has been used in trials studying the treatment and basic science of LYMPHOMA, Neoplasms, Solid Tumor, COLON CANCER, and BREAST CANCER, among others.",LY-3039478,923X28214S,C[C@H](NC(=O)CCC(F)(F)F)C(=O)N[C@H]1C2=CC=CC=C2C2=CC=CN=C2N(CCO)C1=O,"","","",false
Chlorsulfaquinoxaline has been used in trials studying the treatment of Lung Cancer and Colorectal Cancer.,Chlorsulfaquinoxaline,O0408QB48D,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=CC=CC(Cl)=C2N=C1,"","","",false
"Duligotuzumab has been used in trials studying the treatment of Neoplasms, Colorectal Cancer, Head and Neck Cancer, and Epithelial Tumors, Malignant.",Duligotuzumab,8PMF8YQX2T,,"","","",false
"Simtuzumab has been used in trials studying the treatment and basic science of Myelofibrosis, Pancreatic Cancer, Colorectal Cancer, and Idiopathic Pulmonary Fibrosis.",Simtuzumab,11Z5AIU653,,"","","",false
"Savolitinib has been used in trials studying the treatment and health services research of Tumor, Food Effect, Gastric Cancer, Health Subjects, and Colorectal Cancer, among others.",Savolitinib,2A2DA6857R,C[C@H](N1N=NC2=NC=C(N=C12)C1=CN(C)N=C1)C1=CN2C=CN=C2C=C1,"","","",false
"Isoquercetin has been used in trials studying the treatment of Kidney Cancer, Renal cell carcinoma, Advanced Renal Cell Carcinoma, Thromboembolism of Vein in Pancreatic Cancer, and Thromboembolism of Vein VTE in Colorectal Cancer, among others.",Isoquercetin,6HN2PC637T,OC[C@H]1O[C@@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,"","","",false
Nedisertib is under investigation in clinical trial NCT03770689 (Study of M3814 in Combination With Capecitabine and Radiotherapy in Rectal Cancer).,Nedisertib,GN429E725A,COC1=NN=C(C=C1)[C@@H](O)C1=C(Cl)C=C(F)C(=C1)C1=NC=NC2=C1C=CC(=C2)N1CCOCC1,"","","",false
"Platinum is under investigation for the treatment of Metastatic Breast Cancer, Non-small Cell Lung Cancer, Gastric Large Cell Neuroendocrine Carcinoma, Colorectal Large Cell Neuroendocrine Carcinoma, and Pancreatic Large Cell Neuroendocrine Carcinoma, among others. Platinum has been investigated for the treatment and supportive care of Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Primary Cancer, Non Small Cell Lung Cancer, and Primary Peritoneal Carcinoma, among others.",Platinum,49DFR088MY,[Pt],"","","",false
"Simurosertib is under investigation in clinical trial NCT03261947 (A Study to Evaluate the Safety, Tolerability, and Activity of TAK-931 in Participants With Metastatic Pancreatic Cancer, Metastatic Colorectal Cancer, and Other Advanced Solid Tumors).",Simurosertib,LST350G3XU,CC1=NNC=C1C1=CC2=C(S1)C(=O)NC(=N2)[C@@H]1CC2CCN1CC2,"","","",false
Guadecitabine is under investigation for the treatment of Previously Treated Metastatic Colorectal Cancer.,Guadecitabine,2KT4YN1DP7,NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)O[C@H]2C[C@@H](O[C@@H]2CO)N2C=NC(N)=NC2=O)O1,"","","",false
Brivanib alaninate has been investigated for the treatment of Colorectal Cancer.,Brivanib alaninate,U2Y5OFN795,C[C@H](COC1=CN2N=CN=C(OC3=CC=C4NC(C)=CC4=C3F)C2=C1C)OC(=O)[C@H](C)N,"","","",false
"AZD-8330 is a potent, selective, orally active MEK inhibitor that blocks signal transduction pathways implicated in cancer cell proliferation and survival. AZD-8330 has shown tumor suppressive activity in multiple preclinical models of human cancer including melanoma, pancreatic, colon, lung, and breast cancers.",AZD-8330,G4990BOZ66,CN1C(=O)C(C)=CC(C(=O)NOCCO)=C1NC1=CC=C(I)C=C1F,Mitogen-activated protein kinase kinase kinase 1,Q13233,MAP3K1,false
"Entolimod has been used in trials studying the treatment of Mucositis, Tongue Cancer, Colorectal Cancer, Stage IVA Verrucous Carcinoma of the Larynx, and Stage IVB Verrucous Carcinoma of the Larynx, among others.",Entolimod,R1UQ6D1ECM,,"","","",false
"Cetuximab is a recombinant chimeric human/mouse IgG1 monoclonal antibody that competitively binds to epidermal growth factor receptor (EGFR) and competitively inhibits the binding of epidermal growth factor (EGF).[A227973] EGFR is a member of the ErbB family of receptor tyrosine kinases found in both normal and tumour cells; it is responsible for regulating epithelial tissue development and homeostasis.[A228083] EGFR has been implicated in various types of cancer, as it is often overexpressed in malignant cells [A227973] and EGFR overexpression has been linked to more advanced disease and poor prognosis.[A227963] EGFR is often mutated in certain types of cancer and serves as a driver of tumorigenesis.[A228083] _In vitro_, cetuximab was shown to mediate anti-tumour effects in numerous cancer cell lines and human tumour xenografts.[A227963]

Approved by the FDA in February 2004 under the brand name ERBITUX, cetuximab is used for the treatment of head and neck cancer and metastatic, KRAS wild-type colorectal cancer, and metastatic colorectal cancer with a BRAF V600E mutation.[A227963,L39045] It has also been investigated in advanced colorectal cancer, EGFR-expressing non-small cell lung cancer (NSCLC), and unresectable squamous cell skin cancer.[L31418] Cetuximab is administered via intravenous infusion and is used as monotherapy or in combination with other chemotherapies, including platinum agents, radiation therapy, [leucovorin], [fluorouracil], and [irinotecan].[L30448]",Cetuximab,PQX0D8J21J,,Epidermal growth factor receptor; Low affinity immunoglobulin gamma Fc region receptor III-B; Complement C1q subcomponent subunit A; Complement C1q subcomponent subunit B; Complement C1q subcomponent subunit C; Low affinity immunoglobulin gamma Fc region receptor III-A; High affinity immunoglobulin gamma Fc receptor I; Low affinity immunoglobulin gamma Fc region receptor II-a,P00533; O75015; P02745; P02746; P02747; P08637; P12314; P12318,EGFR; FCGR3B; C1QA; C1QB; C1QC; FCGR3A; FCGR1A; FCGR2A,true
Vanucizumab has been used in trials studying the treatment of ColoRectal Cancer and Advanced/Metastatic Solid Tumors.,Vanucizumab,B800Z06O8K,,Angiopoietin-2; Vascular endothelial growth factor A,O15123; P15692,ANGPT2; VEGFA,false
"DTS-201 is a prodrug of doxorubicin, a widely used anti-cancer drug that Diatos intends to develop for the treatment of various solid tumors. It is activated in the tumor environment.
DTS-201 may be suitable for the treatment of many types of solid tumors, including tumors sensitive to doxorubicin and potentially other tumors which are not currently treated with doxorubicin but which express high levels of CD-10* or TOP** peptidases, such as prostate cancer, colorectal cancer, melanoma, pancreatic cancer and some types of renal cancer.",DTS-201,,,"","","",false
BMS-908662 has been used in trials studying the treatment of Melanoma and Colorectal Cancer.,BMS-908662,DW2NWI3TFN,COC(=O)NC1=NC2=CC(=CC=C2N1)C1(O)N(C(=O)C2=CC=CC=C12)C1=CC(Cl)=CC=C1C,"","","",false
Fruquintinib is under investigation for the treatment of NSCLC. Fruquintinib has been investigated for the treatment of ColoRectal Cancer.,Fruquintinib,49DXG3M5ZW,CNC(=O)C1=C(C)OC2=CC(OC3=NC=NC4=CC(OC)=C(OC)C=C34)=CC=C12,"","","",false
Icrucumab is under investigation in clinical trial NCT01111604 (A Study of IMC-1121B or IMC-18F1 in Colorectal Cancer).,Icrucumab,T7H0B1R64U,,"","","",false
Vactosertib is under investigation in clinical trial NCT03724851 (Vactosertib in Combination With Pembrolizumab in Metastatic Colorectal or Gastric Cancer).,Vactosertib,6T4O391P5Y,CC1=NC(=CC=C1)C1=C(N=C(CNC2=C(F)C=CC=C2)N1)C1=CN2N=CN=C2C=C1,"","","",false
"WNT974 has been used in trials studying the treatment of Metastatic Colorectal Cancer and Squamous Cell Carcinoma, Head And Neck.",WNT-974,U27F40013Q,CC1=CC(=CC=N1)C1=NC=C(CC(=O)NC2=CC=C(C=N2)C2=CN=CC=N2)C=C1C,"","","",false
2'-cyano-2'-deoxy-1-(beta-D-arabinofuranosyl)cytosine has been used in trials studying the treatment of Advanced Colorectal Cancer.,2'-cyano-2'-deoxy-1-(beta-D-arabinofuranosyl)cytosine,00M634HD2V,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1C#N,"","","",false
"ANX-510 (CoFactor) is a folate-based biomodulator drug being developed to enhance the activity and reduce associated toxicity of the widely used cancer chemotherapy, 5-fluorouracil (5-FU). CoFactor use with 5-FU is being evaluated in clinical trials in first line treatment of metastatic colorectal cancer.",ANX-510,E24OC39JVA,,Thymidylate synthase,P04818,TYMS,false
Tocladesine has been used in trials studying the treatment of Colorectal Cancer and Multiple Myeloma and Plasma Cell Neoplasm.,Tocladesine,BQ94Z7E5OR,NC1=C2N=C(Cl)N([C@@H]3O[C@@H]4COP(O)(=O)O[C@H]4[C@H]3O)C2=NC=N1,"","","",false
ISIS 2503 is under investigation in clinical trial NCT00004193 (ISIS 2503 in Treating Patients With Metastatic And/or Locally Recurrent Colorectal Cancer).,ISIS 2503,I444I66XWH,,"","","",false
"OSI-930 is an orally active inhibitor of two clinically validated targets: c-Kit and the vascular endothelial growth factor receptor-2 (VEGFR-2). OSI-930 is designed to target both cancer cell proliferation and blood vessel growth (angiogenesis) in selected tumors. In preclinical studies, OSI-930 shows broad efficacy in tumor models representative of small cell lung cancer, glioblastoma, colorectal, renal, head and neck, non-small cell lung cancer and gastric cancers.",OSI-930,G1PEG5Q9Y2,FC(F)(F)OC1=CC=C(NC(=O)C2=C(NCC3=CC=NC4=CC=CC=C34)C=CS2)C=C1,Mast/stem cell growth factor receptor Kit; Vascular endothelial growth factor receptor 1,P10721; P17948,KIT; FLT1,false
"Seribantumab has been used in trials studying the treatment of NSCLC, Heregulin, Adenocarcinoma, Colorectal Cancer, and Solid Tumor Cancers, among others.",Seribantumab,1N3L70MDFX,,"","","",false
Fosifloxuridine nafalbenamide is under investigation in clinical trial NCT03428958 (A Safety Study of NUC-3373 in Combination With Standard Agents Used in Colorectal Cancer Treatment).,Fosifloxuridine nafalbenamide,4YO6QT3SZ9,C[C@H](NP(=O)(OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O)OC1=C2C=CC=CC2=CC=C1)C(=O)OCC1=CC=CC=C1,"","","",false
Magrolimab is under investigation in clinical trial NCT02953782 (Trial of Magrolimab (Hu5f9-g4) in Combination With Cetuximab in Participants With Solid Tumors and Advanced Colorectal Cancer).,Magrolimab,90YIEHRFJ9,,"","","",false
"Piritramide is under investigation for the treatment of Colon Cancer and Minimal Residual Disease. Piritramide has been investigated for the supportive care of Pain, Postoperative and Postoperative Nausea and Vomiting.",Piritramide,4RP92LYZ2F,NC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)N1CCCCC1,"","","",true
"G17DT is a vaccine that neutralises gastrin-17, a hormone required for the growth of a number of cancers of the gastrointestinal tract. It is in phase III trials for advanced pancreatic cancer as a monotherapy and in combination with gemcitabine. It is also in a phase II/III trial for advanced stomach cancer in combination with 5-fluorouracil and cisplatin and in a late phase II trial for advanced colorectal cancer in combination with irinotecan.",G17DT,,,"","","",false
"Tesevatinib has been used in trials studying the treatment of Cancer, Stomach Cancer, Brain Metastases, Esophageal Cancer, and Leptomeningeal Metastases, among others.

Tesevatinib is a potent inhibitor of multiple RTKs implicated in driving tumor cell proliferation and tumor vascularization (blood vessel formation). Tesevatinib inhibits the EGF, HER2, and VEGF RTKs, each of which is a target of currently approved cancer therapies. In addition, tesevatinib inhibits EphB4, an RTK that is highly expressed in many human tumors and plays a role in promoting angiogenesis. In a broad array of preclinical tumor models including breast, lung, colon and prostate cancer, XL647 demonstrated potent inhibition of tumor growth and causes tumor regression. In cell culture models, tesevatinib retains significant potency against mutant EGFRs that are resistant to current EGFR inhibitors.",Tesevatinib,F6XM2TN5A1,COC1=C(OC[C@H]2C[C@H]3CN(C)C[C@H]3C2)C=C2N=CN=C(NC3=CC=C(Cl)C(Cl)=C3F)C2=C1,Pro-epidermal growth factor; Ephrin type-B receptor 4; Receptor tyrosine-protein kinase erbB-2,P01133; P54760; P04626,EGF; EPHB4; ERBB2,false
"Also known as protocatechuic aldehyde, protocatechualdehyde is a naturally-occuring phenolic aldehyde that is found in barley, green cavendish bananas, grapevine leaves and root of the herb S. miltiorrhiza [A27224]. Protocatechualdehyde possesses antiproliferative and pro-apoptotic properties against human breast cancer cells and colorectal cancer cells by reducing the expression of pro-oncogenes β-catenin and cyclin D1.",Protocatechualdehyde,4PVP2HCH4T,[H]C(=O)C1=CC(O)=C(O)C=C1,"","","",false
"Apricoxib has been used in trials studying the treatment and prevention of Lung Cancer, Breast Cancer, Pancreatic Cancer, Non Small Cell Lung Cancer, and Metastatic Pancreatic Cancer, among others.",Apricoxib,5X5HB3VZ3Z,CCOC1=CC=C(C=C1)C1=CC(C)=CN1C1=CC=C(C=C1)S(N)(=O)=O,"","","",false
"Saracatinib has been investigated for the treatment of Cancer, Osteosarcoma, Ovarian Cancer, Fallopian Tube Cancer, and Primary Peritoneal Cancer.",Saracatinib,9KD24QGH76,CN1CCN(CCOC2=CC3=C(C(NC4=C(Cl)C=CC5=C4OCO5)=NC=N3)C(OC3CCOCC3)=C2)CC1,Cytochrome P450 3A4,P08684,CYP3A4,false
"Rilotumumab has been investigated for the treatment of Cancer, Lung Cancer, Solid Tumors, Gastric Cancer, and Prostate Cancer, among others.",Rilotumumab,51WEW898IJ,,"","","",false
"2-chloroethyl-3-sarcosinamide-1-nitrosourea has been used in trials studying the treatment of Colorectal Cancer, Brain and Central Nervous System Tumors, and Unspecified Adult Solid Tumor, Protocol Specific.",2-chloroethyl-3-sarcosinamide-1-nitrosourea,BHB013S3MO,CN(CC(N)=O)C(=O)N(CCCl)N=O,"","","",false
"Mirvetuximab Soravtansine has been used in trials studying the treatment of Ovarian cancer, Endometrial Cancer, Fallopian tube cancer, Epithelial Ovarian Cancer, and Primary Peritoneal Cancer, among others.",Mirvetuximab Soravtansine,98DE7VN88D,,Cytochrome P450 3A4,P08684,CYP3A4,false
"Samarium 153 has been used in trials studying the supportive care of Pain, Lung Cancer, Breast Cancer, Prostate Cancer, and Metastatic Cancer.",Samarium Sm-153,6Q1KA41UWM,[153Sm],"","","",false
"ILX-295501 has been used in trials studying the treatment of Ovarian Cancer, Metastatic Cancer, Fallopian Tube Cancer, and Primary Peritoneal Cavity Cancer.",LY-295501,240Y4YO0TN,ClC1=C(Cl)C=C(NC(=O)NS(=O)(=O)C2=CC=C3OCCC3=C2)C=C1,"","","",false
"Curcumin, also known as diferuloylmethane, is an active component in the golden spice turmeric (Curcuma longa) and in [Curcuma xanthorrhiza oil]. It is a highly pleiotropic molecule that exhibits antibacterial, anti-inflammatory, hypoglycemic, antioxidant, wound-healing, and antimicrobial activities [A33166]. Due to these properties, curcumin has been investigated for the treatment and supportive care of clinical conditions including proteinuria, breast cancer, multiple myeloma, depression, and Non Small Cell Lung Cancer (NSCLC). Despite proven efficacy against numerous experimental models, poor bioavailability due to poor absorption, rapid metabolism, and rapid systemic elimination have been shown to limit the therapeutic efficacy of curcumin [A33166]. Curcumin is under investigation for the treatment and supportive care of various clinical conditions including mucositis, rectal cancer, prostate cancer, chronic schizophrenia, and Mild Cognitive Impairment (MCI) [A33166].",Curcumin,IT942ZTH98,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,Peroxisome proliferator-activated receptor gamma; Vitamin D3 receptor; Multidrug resistance-associated protein 5; Carbonyl reductase [NADPH] 1; Glutathione S-transferase P; Cytochrome P450 2C9; Cytochrome P450 3A4; Cytochrome P450 2B6; Cytochrome P450 1A2; Cytochrome P450 2D6; Glutathione S-transferase A1; Glutathione S-transferase Mu 1; Glutathione S-transferase P; P-glycoprotein 1,P37231; P11473; O15440; P16152; P09211; P11712; P08684; P20813; P05177; P10635; P08263; P09488; P08183,PPARG; VDR; ABCC5; CBR1; GSTP1; CYP2C9; CYP3A4; CYP2B6; CYP1A2; CYP2D6; GSTA1; GSTM1; ABCB1,true
"TAS-102 (Taiho Pharma USA, Inc.) is an anti-cancer drug under development and in stage 3 clinical trials for the treatment of colorectal cancer. It is composed of the thymidine phosphorylase inhibitor (TPI) tipiracil and the cytotoxin trifluridine. Trifluridine inhibits tumor growth by being incorporated into DNA during DNA synthesis. Tipiracil prevents trifluridine from being broken down when taken orally. ",TAS-102,,,"","","",false
"Carmofur is a derivative of fluorouracil, and is an antineoplastic agent that has been used in the treatment of breast and colorectal cancer. Carmofur has been known to induce leukoencephalopathy.",Carmofur,HA82M3RAB2,CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O,"","","",false
"Dilpacimab is under investigation in clinical trial NCT03368859 (A Study of ABT-165 Plus FOLFIRI vs Bevacizumab Plus FOLFIRI in Subjects With Metastatic Colorectal Cancer Previously Treated With Fluoropyrimidine, Oxaliplatin and Bevacizumab).",Dilpacimab,F27LAH6D5O,,"","","",false
"Carboxyamidotriazole has been used in trials studying the treatment of Lymphoma, Lung Cancer, Breast Cancer, Kidney Cancer, and Ovarian Cancer, among others.",Carboxyamidotriazole,6ST3ZF52WB,NC(=O)C1=C(N)N(CC2=CC(Cl)=C(C(=O)C3=CC=C(Cl)C=C3)C(Cl)=C2)N=N1,Cytochrome P450 3A4,P08684,CYP3A4,false
"CUDC-101 has been used in trials studying the treatment of Cancer, Tumors, Liver Cancer, Breast Cancer, and Gastric Cancer, among others.",CUDC-101,1A7Y9MP123,COC1=C(OCCCCCCC(=O)NO)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1,"","","",false
"Orantinib has been used in trials studying the treatment of Lung Cancer, Breast Cancer, Kidney Cancer, Gastric Cancer, and Prostate Cancer, among others.",Orantinib,9RL37ZZ665,CC1=C(CCC(O)=O)C(C)=C(N1)\C=C1/C(=O)NC2=CC=CC=C12,"","","",false
"GTI-2040 is under investigation in clinical trial NCT00084643 (GTI-2040, Oxaliplatin, and Capecitabine in Treating Patients With Locally Advanced or Metastatic Colorectal Cancer or Other Solid Tumors).",GTI-2040,5WY0FWR2CF,,"","","",false
"RAV12 is investigated for use/treatment in solid tumors. RAV12 is a solid. RAV12 is a chimeric antibody that recognizes RAAG12, an N-linked carbohydrate antigen found on gastric, colon, pancreatic, prostate, ovarian, breast, and kidney cancer cells.
",RAV12,,,"","","",false
"RIGScan CR49, a 125I-labelled CR monoclonal antibody directed against the tumour-associated antigen TAG-72, is undergoing development with Neoprobe for the intraoperative detection of metastatic colorectal cancer.",NAV 1800,,,"","","",false
"Brivanib is under investigation for the treatment of HepatoCellular Carcinoma. Brivanib has been investigated for the treatment of Solid Tumors, Hepato Cellular Carcinoma (HCC), and Metastatic Colorectal Cancer (MCRC).",Brivanib,DDU33B674I,C[C@@H](O)COC1=CN2N=CN=C(OC3=CC=C4NC(C)=CC4=C3F)C2=C1C,"","","",false
"Apomab is under investigation in clinical trial NCT00851136 (A Study of PRO95780 Administered in Combination With the FOLFOX Regimen and Bevacizumab in Patients With Previously Untreated, Locally Advanced, Recurrent, and Metastatic Colorectal Cancer (APM4566g)).",Apomab,703KLX5LXZ,,"","","",false
"Triapine has been used in trials studying the treatment of Leukemia, Lung Cancer, Kidney Cancer, Prostate Cancer, and Pancreatic Cancer, among others.",Triapine,U4XIL4091C,NC(=S)N\N=C\C1=C(N)C=CC=N1,"","","",false
"Dactolisib has been used in trials studying the treatment of Cancer, Solid Tumor, Renal Cancer, Breast Cancer, and Cowden Syndrome, among others.",Dactolisib,RUJ6Z9Y0DT,CN1C(=O)N(C2=C1C=NC1=CC=C(C=C21)C1=CN=C2C=CC=CC2=C1)C1=CC=C(C=C1)C(C)(C)C#N,"","","",false
"Pyrazoloacridine has been used in trials studying the treatment of Lung Cancer, Liver Cancer, Breast Cancer, Melanoma (Skin), and Metastatic Cancer, among others.",Pyrazoloacridine,L24XJN68OW,COC1=CC=C2NC3=C4C(=CC=C3[N+]([O-])=O)N(CCCN(C)C)N=C4C2=C1,"","","",false
"Zoptarelin doxorubicin has been used in trials studying the treatment of Breast Cancer, Ovarian Cancer, Prostate Cancer, Endometrial Cancer, and Urothelial Carcinoma, among others.",Zoptarelin doxorubicin,27844X2J29,[H]OC[C@H](NC(=O)[C@H](CC1=CN([H])C2=C1C=CC=C2)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CC1=CC=C(O[H])C=C1)C(=O)N[C@H](CCCCNC(=O)CCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@@]2([H])C[C@H](N)[C@H](O)[C@H](C)O2)C2=C(O)C3=C(C(O)=C2C1)C(=O)C1=CC=CC(OC)=C1C3=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,"","","",false
"Piritrexim has been used in trials studying the treatment of Bladder Cancer, Urethral Cancer, and Transitional Cell Cancer of the Renal Pelvis and Ureter.",Piritrexim,MK2A783ZUT,COC1=CC(CC2=C(C)C3=C(N=C2)N=C(N)N=C3N)=C(OC)C=C1,Dihydrofolate reductase,P00374,DHFR,false
"Gedatolisib has been used in trials studying the basic science and treatment of Neoplasm, Ovary Cancer, Breast Cancer, Advanced Cancer, and Endometrial Cancer, among others.",Gedatolisib,96265TNH2R,CN(C)C1CCN(CC1)C(=O)C1=CC=C(NC(=O)NC2=CC=C(C=C2)C2=NC(=NC(=N2)N2CCOCC2)N2CCOCC2)C=C1,"","","",false
"Ipatasertib has been used in trials studying the treatment of Cancer, Neoplasms, Solid Cancers, Breast Cancer, and Gastric Cancer, among others.",Ipatasertib,524Y3IB4HQ,[H][C@](CNC(C)C)(C(=O)N1CCN(CC1)C1=NC=NC2=C1[C@]([H])(C)C[C@@]2([H])O)C1=CC=C(Cl)C=C1,"","","",false
"852A has been used in trials studying the treatment of Melanoma, Neoplasms, Breast Cancer, Ovarian Cancer, and Cervical Cancer, among others.",CPG-52852,6PJC3KPK6S,CCC1=NC2=C(N1CCCCNS(C)(=O)=O)C1=CC=CC=C1N=C2N,"","","",false
"PF-04691502 has been used in trials studying the treatment of Cancer, Breast Neoplasms, Early Breast Cancer (Phase 2), and Advanced Breast Cancer (Phase 1b).",PF-04691502,4W39NS61KI,COC1=CC=C(C=N1)C1=CC2=C(C)N=C(N)N=C2N([C@H]2CC[C@@H](CC2)OCCO)C1=O,"","","",false
